"RuleCollectionGroupName","RuleCollectionName","RuleName","RuleType","SourceAddress","SourceIpGroups","DestinationAddress","DestinationIpGroups","Protocols","DestinationPorts"
"UKS_WAF_Rules_Col_01","UKS_WAF_DNAT_Col_Rules_01","UKS_ALB_FS_TCP","NatRule","*","","51.145.24.120","","TCP","49444"
"UKS_WAF_Rules_Col_01","UKS_WAF_DNAT_Col_Rules_01","UKS_WAF_DNAT_CLONEWAF_22","NatRule","62.244.191.249 89.77.96.13 80.86.34.0/24 213.246.159.0/25","","51.140.119.78","","TCP","22"
"UKS_WAF_Rules_Col_01","UKS_WAF_DNAT_Col_Rules_01","UKS_WAF_DNAT_CLONEWAF_WEBMGMT","NatRule","62.244.191.249 80.86.34.0/24 213.246.159.0/25","","51.140.119.78","","TCP","8443"
"UKS_WAF_Rules_Col_01","UKS_WAF_DNAT_Col_Rules_01","UKS_WAF_DNAT_REEDMAC","NatRule","85.133.41.50","","51.140.119.78","","TCP","22"
"UKS_WAF_Rules_Col_01","UKS_WAF_DNAT_Col_Rules_01","UKS_WAF_FS_HTTPS_49443","NatRule","*","","51.145.24.120","","TCP","49443"
"UKS_WAF_Rules_Col_01","UKS_WAF_DNAT_Col_Rules_01","UKS_LSEXHYBRID_443","NatRule","13.107.6.152/31 13.107.18.10/31 13.107.128.0/22 23.103.160.0/20 40.96.0.0/13 40.104.0.0/15 52.96.0.0/14 131.253.33.215/32 132.245.0.0/16 150.171.32.0/22 204.79.197.215/32","","51.145.22.190","","TCP","443"
"UKS_WAF_Rules_Col_01","UKS_WAF_DNAT_Col_Rules_01","UKS_LSEXHYBRID_25","NatRule","40.92.0.0/15 40.107.0.0/16 52.100.0.0/14 104.47.0.0/17","","51.145.22.190","","TCP","25"
"UKS_WAF_Rules_Col_01","UKS_WAF_DNAT_Col_Rules_01","UKS_WAF_DNAT_WAF_SNMP","NatRule","62.244.176.0/23","","51.140.119.78","","UDP","161"
"UKS_WAF_Rules_Col_01","UKS_WAF_DNAT_Col_Rules_01","MSKDMS_Forwarding","NatRule","40.92.0.0/15 40.107.0.0/16 52.100.0.0/14 104.47.0.0/17","","20.68.17.56","","TCP","25"
"Outbound_UKS_Untrust","FTP_Chromeriver","Outbound_FTP_ChromeRiver","NetworkRule","10.55.11.39 10.55.11.52","","","/subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/Chromeriver_IPs","TCP UDP","21 22"
"Outbound_UKS_Untrust","Allow_DC_Mimecast","DC_Mimecast","NetworkRule","","/subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/LS-Mimecast-IP-RANGES","10.55.10.4","","TCP","636"
"Outbound_UKS_Untrust","Allow_ReedMAC_FTP","ReedMAC_FTP","NetworkRule","10.55.11.48 10.55.11.57","","85.133.41.50 20.108.123.191","","TCP","22 21"
"Outbound_UKS_Untrust","Internet","UKS_Internet_Outbound","NetworkRule","","/subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-ALL-01 /subscriptions/9a611467-2505-49e1-ae2e-d9c440d1391f/resourceGroups/LS-UKS-DEVTEST-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-DEVTEST-IP-ALLPROD /subscriptions/3f560080-9ada-4338-a5ca-29b4fe707fe5/resourceGroups/LS-UKW-DR-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKW-PRD-IP-ALLPROD-01","*","","Any","80 443"
"Outbound_UKS_Untrust","Internet","WVD_KMS_Outbound","NetworkRule","","/subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-ALLPROD-01","","","Any","1688"
"Outbound_UKS_Untrust","Internet","UKS_DNS_Outbound","NetworkRule","","/subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-ALL-01 /subscriptions/9a611467-2505-49e1-ae2e-d9c440d1391f/resourceGroups/LS-UKS-DEVTEST-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-DEVTEST-IP-ALLPROD /subscriptions/3f560080-9ada-4338-a5ca-29b4fe707fe5/resourceGroups/LS-UKW-DR-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKW-PRD-IP-ALLPROD-01","*","","Any","53"
"Outbound_UKS_Untrust","MSK_SUPPORT","MSK_SUPPORT","NetworkRule","10.55.10.168","","212.122.62.201","","TCP","7999"
"Outbound_UKS_Untrust","SecureWorks_Taegis","Outbound_NTP","NetworkRule","10.55.10.171 10.55.10.173","","*","","UDP","123"
"Outbound_UKS_Untrust","Allow_MSKDMS_SMTP","Allow_MSKDMS_SMTP","NetworkRule","40.92.0.0/15 40.107.0.0/16 52.100.0.0/14 104.47.0.0/17","","20.68.17.56","","TCP","25"
"Outbound_UKS_Untrust","Allow_LSEXHYBRID_SMTP","Mimecast_SMTP_Journal_1","NetworkRule","10.55.12.97 10.55.12.100 10.55.12.101","","","","TCP","25"
"Outbound_UKS_Untrust","Allow_LSEXHYBRID_SMTP","Mimecast_SMTP_Journal_2","NetworkRule","10.55.12.97 10.55.12.100 10.55.12.101","","","","TCP","25"
"Outbound_UKS_Untrust","Allow_LSEXHYBRID_SMTP","Mimecast_SMTP_Outbound_1","NetworkRule","10.55.12.97 10.55.12.100 10.55.12.101","","","","TCP","25"
"Outbound_UKS_Untrust","Allow_LSEXHYBRID_SMTP","Mimecast_SMTP_Outbound_2","NetworkRule","10.55.12.97 10.55.12.100 10.55.12.101","","","","TCP","25"
"Outbound_UKS_Untrust","Allow_LSEXHYBRID_SMTP","O365_Outbound_1","NetworkRule","10.55.12.97 10.55.12.100 10.55.12.101","","","","TCP","25 587"
"Outbound_UKS_Untrust","Allow_LSEXHYBRID_SMTP","AWS_External_1","NetworkRule","10.55.12.97 10.55.12.100 10.55.12.101","","54.76.133.133/32","","TCP","25"
"Outbound_UKS_Untrust","Allow_LSEXHYBRID_SMTP","AWS_External_2","NetworkRule","10.55.12.97 10.55.12.100 10.55.12.101","","52.17.147.139/32","","TCP","25"
"Outbound_UKS_Untrust","Allow_LSEXHYBRID_SMTP","O365_Outbound_2","NetworkRule","10.55.12.97 10.55.12.100 10.55.12.101","","","","TCP","25 587"
"DMZ","DMZ_to_Trust_Deny","Deny_DMZ_Generic","NetworkRule","","/subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-DMZ-01","","/subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/RFC1918","TCP","3389 22 23 5900"
"DMZ","DMZ_to_Untrust_Allow","DMZ_NTP_Out","NetworkRule","","/subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-DMZ-01","*","","TCP UDP","123"
"DMZ","DMZ_to_Untrust_Allow","DMZ_DNS_Out","NetworkRule","","/subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-DMZ-01","*","","TCP UDP","53"
"DMZ","DMZ_to_Untrust_Allow","DMZ_Web_Out","NetworkRule","","/subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-DMZ-01","*","","TCP","443 80"
"DMZ","DMZ_to_Untrust_Allow","DMZ_TCP8081_Out","NetworkRule","","/subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-DMZ-01","*","","TCP","8081"
"DMZ","DMZ_to_Untrust_Allow","DMZ_ICMP_Out","NetworkRule","","/subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-DMZ-01","*","","ICMP","*"
"DMZ","Outbound_DMZ_Trust","Bighand_Outbound","NetworkRule","10.55.60.7","","10.55.10.100 10.55.10.101","","Any","443 444 59098 60000 61000"
"DMZ","Outbound_DMZ_Trust","Outbound_DMZ_DNS","NetworkRule","10.56.12.0/24","","8.8.8.8 8.8.4.4","","TCP UDP","53"
"DMZ","Outbound_DMZ_Trust","Outbound_Linux_Out","NetworkRule","10.56.10.6","","*","","TCP UDP","53 443 80"
"DMZ","Outbound_DMZ_Trust","Vuture_Outbound_DMZ","NetworkRule","10.56.10.15","","","/subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-VUTURE","TCP","443"
"DMZ","Inbound_DMZ_Trust","RDP_ADDS_Inbound","NetworkRule","","/subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-ADDS-01 /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-ZERTO-01","","/subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-DMZ-01","TCP","3389"
"DMZ","Inbound_DMZ_Trust","ADDS_Inbound","NetworkRule","","/subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-ADDS-01","","/subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-DMZ-01","TCP UDP","7 53 88 123 135 389 464 445 636 49152-65535"
"DMZ","Inbound_DMZ_Trust","KMS_Inbound","NetworkRule","","/subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-ADDS-01","","/subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-DMZ-01","TCP","1688"
"DMZ","Inbound_DMZ_Trust","Vuture_Inbound_LSIAAP02","NetworkRule","","/subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-VUTURE","10.56.10.15","","TCP","443"
"DMZ","Trust_to_DMZ_Allow","Trust_to_DMZ_Access","NetworkRule","","/subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/Cardiff-IP-LAN /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/Belfast-LAN-IP /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/Dublin-IP-LAN /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/HongKong-IP-LAN /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/London-IP-LAN /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/Oxford-IP-LAN /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/Manchester-IP-LAN /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/Leeds-IP-LAN","","/subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-DMZ-01","Any","*"
